Block,District,Ward,Beat,location_id
077XX S LANGLEY AVE,6,6,624,526
022XX N KOSTNER AVE,25,31,2522,527
043XX N LAWNDALE AVE,17,39,1723,528
044XX W WILSON AVE,17,45,1722,529
077XX S PAULINA ST,6,17,611,530
034XX N SEELEY AVE,19,32,1921,531
021XX N CLARK ST,18,43,1814,532
027XX N NEWCASTLE AVE,25,36,2512,533
029XX N HONORE ST,19,32,1931,534
024XX N MENARD AVE,25,37,2515,535
012XX N HARDING AVE,25,27,2535,536
029XX S MICHIGAN AVE,1,2,133,537
062XX S DR MARTIN LUTHER KING JR DR,3,20,311,538
067XX S CRANDON AVE,3,5,331,539
073XX S BLACKSTONE AVE,3,5,324,540
024XX W DEVON AVE,24,50,2413,541
008XX W 76TH ST,6,17,621,542
044XX S INDIANA AVE,2,3,215,543
015XX E 68TH ST,3,5,332,544
005XX W HAWTHORNE PL,19,44,1925,545
041XX S PRAIRIE AVE,2,3,213,546
012XX N SANDBURG TER,18,42,1821,547
084XX S PARNELL AVE,6,21,622,548
079XX S RIDGELAND AVE,4,8,414,549
082XX S ANTHONY AVE,4,8,414,550
039XX N SHERIDAN RD,19,44,1923,551
025XX S HARDING AVE,10,22,1013,552
005XX S MAPLEWOOD AVE,11,28,1135,553
012XX W TAYLOR ST,12,2,1231,554
107XX S AVENUE L,4,10,432,555
032XX W ROOSEVELT RD,11,24,1134,556
007XX N DRAKE AVE,11,27,1121,557
085XX S JUSTINE ST,6,21,614,558
006XX E 100TH PL,5,9,511,559
005XX N LAWLER AVE,15,28,1532,560
017XX W MONTVALE AVE,22,34,2234,561
015XX S KEDZIE AVE,10,24,1022,562
060XX S MAY ST,7,16,712,563
087XX S HOUSTON AVE,4,10,424,564
017XX W 18TH PL,12,25,1234,565
002XX S KEELER AVE,11,28,1115,566
068XX S GREEN ST,7,17,723,567
024XX W 35TH ST,9,12,911,568
027XX W THOMAS ST,12,1,1211,569
079XX S LAFLIN ST,6,21,612,570
058XX W 63RD ST,8,13,812,571
020XX N KEDZIE AVE,14,35,1413,572
100XX S WOODLAWN AVE,5,8,511,573
024XX W FLOURNOY ST,11,2,1135,574
104XX S WENTWORTH AVE,5,34,512,575
008XX W WRIGHTWOOD AVE,19,43,1935,576
0000X S MICHIGAN AVE,1,42,112,577
050XX W HURON ST,15,28,1532,578
105XX S EWING AVE,4,10,432,579
021XX W JACKSON BLVD,12,27,1225,580
026XX N LAKEVIEW AVE,19,43,1935,581
073XX S EMERALD AVE,7,6,732,582
078XX S MAY ST,6,17,612,583
004XX W MARQUETTE RD,7,6,722,584
067XX S WOOD ST,7,16,726,585
019XX W CERMAK RD,12,25,1234,586
079XX S LOOMIS BLVD,6,21,612,587
083XX S ASHLAND AVE,6,18,614,588
065XX S HARVARD AVE,7,20,722,589
025XX E 79TH ST,4,7,422,590
035XX S RHODES AVE,2,4,212,591
026XX N RIDGEWAY AVE,25,35,2524,592
064XX S DORCHESTER AVE,3,20,314,593
079XX S DREXEL AVE,6,8,624,594
